"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"148","QAT",148,0.00298492850120912,148,101141.736950447,148,7692.26282922017,148,2704.92954282312,0.990847498329963,0.993051040155489
"149","RUS",149,0.0130073848826317,149,129978.041171287,149,29730.7722544954,149,16971.5413592991,0.956530108934826,0.950021063541187
"150","RWA",150,0.00232715817621539,150,3381.55717259622,150,77.476930954578,150,267.150788418937,0.970114518183376,0.990644213426234
"151","SAU",151,0.00718882589526915,151,127830.281809877,151,19385.2241740438,151,9187.80719021852,0.976350821328647,0.972176730540215
"152","SEN",152,0.00241881756187979,152,12901.6135599567,152,437.096087008494,152,923.83746089091,0.950412682731568,0.858435027004581
"153","SGP",153,0.0109934058380027,153,103891.133700011,153,16617.1588540027,153,18211.0868731978,0.961012487104365,0.949448587020634
"154","SLB",154,0.00168101377518093,154,10360.1112249828,154,103.881520077781,154,101.905918414782,0.975608711157654,0.976333958779475
"155","SLE",155,0.00185143459165293,155,6016.65502642759,155,93.9970265697643,155,190.713003790881,0.988035960034853,0.987047806743875
"156","SLV",156,0.00272414804993664,156,40793.5109224952,156,810.978162315941,156,1193.96779269213,0.942798608376093,0.942667769805142
"157","STP",157,0.00166468854789251,157,666.764141169625,157,11.5071179345019,157,51.4518844112637,0.944470089524995,0.838931309494449
"158","SUR",158,0.00203529167066137,158,19711.4560874019,158,440.14576626362,158,328.765191443546,0.972757960051103,0.973037014845451
"159","SVK",159,0.00415689929529028,159,80314.7740890995,159,5307.67204917127,159,5871.00973005752,0.975613080375323,0.980800739536187
"160","SVN",160,0.00348033011285642,160,55021.271955112,160,2725.64206599608,160,3123.75301485691,0.974892404038112,0.969421483387429
"161","SWE",161,0.00734299568743604,161,96403.7544837118,161,12261.8227973565,161,11469.3486341226,0.97490035881217,0.97038725010105
"162","SWZ",162,0.00201120824910105,162,24108.5043813899,162,390.77479722248,162,422.430546201979,0.986740609554879,0.976297626627263
"163","SYC",163,0.00238216046789181,163,17948.1813133576,163,258.268034020043,163,498.79733168242,0.973106838939523,0.991065725053279
"164","SYR",164,0.00306609984869691,164,37051.4293289624,164,1696.67004942372,164,2462.31355641506,0.943057796896674,0.886815190519616
"165","TCD",165,0.0018681867122589,165,40325.5029194513,165,600.700952919462,165,292.003273623137,0.996010969656421,0.996918401843521
"166","TGO",166,0.0021226907935315,166,5976.42360217449,166,272.159552290553,166,599.328260517725,0.970402038214842,0.93126978735535
"167","THA",167,0.0108409870969483,167,109639.23945307,167,14655.7444656707,167,13147.1053142888,0.951023049195505,0.949950124193884
"168","TJK",168,0.00172158241938688,168,10261.6454350481,168,228.18465759397,168,528.95241571848,0.991887024709228,0.979455113305706
"169","TKM",169,0.00189118967217408,169,26648.944153274,169,513.06214712889,169,816.738858477812,0.990382867491422,0.986026290782388
"170","TON",170,0.00167988399438729,170,452.488132561475,170,8.50122636711768,170,52.6154464391157,0.964515947954089,0.972163852564746
"171","TTO",171,0.00296127196570466,171,65217.8196686807,171,1909.90287834033,171,1004.08437341828,0.941673672203687,0.941114384819371
"172","TUN",172,0.00304697222982045,172,46551.8823580157,172,1959.83574483632,172,2577.88149700135,0.969052488972478,0.962239070908253
"173","TUR",173,0.0107570619031045,173,87019.8697952142,173,10208.116009752,173,14098.0074065335,0.93590149074651,0.90233539902684
"174","TUV",174,0.00138058495868188,174,1188.70524416334,174,10.2837382030564,174,30.7596713689674,0.983888965277537,0.9813119088755
"175","TZA",175,0.00261153742777346,175,16717.5880649319,175,656.438238801785,175,1222.04604838957,0.973706023529449,0.956604906081179
"176","UGA",176,0.00245531924836211,176,8147.07889541007,176,292.781189976776,176,663.628373275119,0.969303940751209,0.937460055736673
"177","UKR",177,0.00479850270574652,177,77657.3076294968,177,5785.07760188552,177,6556.98746130391,0.941716909185673,0.918945738773172
"178","URY",178,0.00228557054752691,178,33989.772927611,178,1296.89904095216,178,1368.94667375827,0.965462352431031,0.955505744639563
"179","USA",179,0.0778473569486806,179,188675.591371491,179,64646.784691099,179,89571.4287738728,0.954031810325734,0.956089468536719
"180","UZB",180,0.00198516793604579,180,31373.4791497196,180,1075.07276837076,180,1298.49618112146,0.984741558388352,0.967391252729375
"181","VCT",181,0.0021112211688675,181,4271.35458488492,181,56.5344784945951,181,164.854652138587,0.945725728870565,0.934519984914513
"182","VEN",182,0.00467069883712296,182,116554.499532748,182,6979.03317448691,182,3798.30159064242,0.974046708582604,0.978890226427678
"183","VNM",183,0.00550434991412413,183,88722.3444022989,183,6939.12186724524,183,7759.32630188079,0.978262154081932,0.974075409957747
"184","VUT",184,0.00174871139100864,184,10801.1742593186,184,136.782626397526,184,126.573938442533,0.975616926479997,0.969139661683508
"185","WSM",185,0.00167313802133302,185,1525.67527649248,185,18.6075169762429,185,112.156757431838,0.98098745890955,0.930199567562168
"186","YEM",186,0.00253537886612867,186,41109.3599629484,186,1194.93067123114,186,1504.75672901062,0.982493864184495,0.987673282226039
"187","ZAF",187,0.0100327278224816,187,85864.6072070457,187,9198.95888609672,187,8431.11716881457,0.928930828382452,0.918839190395682
"188","ZMB",188,0.00220718258275731,188,43307.7130231576,188,1211.30846590738,188,663.786064763279,0.983932717608396,0.984274492401516
"189","ZWE",189,0.00239480270575823,189,20373.5786634334,189,471.606222035498,189,765.625345068559,0.968076682275325,0.973444832974419
